Linux 4.18.0-553.144.1.el8_10.x86_64 (ac062) 	08/06/26 	_x86_64_	(96 CPU)

13:07:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:22:09      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      48   99.00    0.00    0.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      49   99.00    0.00    0.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      50   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      51   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      52   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      53   61.32    0.00   38.28    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      54   61.52    0.00   38.08    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      55    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      57   99.60    0.00    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      58   99.60    0.00    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      59   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      61    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      62    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
13:22:09      63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      64    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
13:22:09      65    0.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   99.60
13:22:09      66    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      68    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
13:22:09      69    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      70   99.60    0.00    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      71   99.00    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.40
13:22:09      72   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      73   96.21    0.00    1.20    0.40    0.20    0.00    0.00    0.00    0.00    2.00
13:22:09      74   99.60    0.00    0.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:22:09      76   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      77   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      78   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      79   98.60    0.00    1.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      80   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      81   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      82   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      83   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      84   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      85   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      86   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      87   98.40    0.00    1.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      88   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      89   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:09      90   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      91   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      92   99.00    0.00    0.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      93   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      94   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:09      95   99.60    0.00    0.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00

13:22:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:22:14     all   58.68    0.00    1.55    0.03    0.22    0.00    0.00    0.00    0.00   39.51
13:22:14       0   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:14       1   98.01    0.00    1.39    0.20    0.40    0.00    0.00    0.00    0.00    0.00
13:22:14       2   98.60    0.00    1.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:22:14       3   98.60    0.00    0.80    0.20    0.40    0.00    0.00    0.00    0.00    0.00
13:22:14       4   98.60    0.00    1.00    0.20    0.20    0.00    0.00    0.00    0.00    0.00
13:22:14       5   98.60    0.00    1.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:22:14       6   98.60    0.00    1.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00
